Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-03-27,Everything Everywhere All at Once,2022,https://boxd.it/2Hwehn,4.5,,"A multiverse movie not set in the MCU or DCEU. Incredibly innovative in terms of action and multiversal storytelling, but delivers a powerful narrative carried by Michelle Yeoh, Stephanie Hsu, and Ke Huy Quan.",,2022-03-26
2022-04-03,Morbius,2022,https://boxd.it/2IDyRj,3,,"Not as bad as everyone is making it out to be. Jared Leto gave a solid performance held back by the subpar writing. It’s biggest crime is that it’s forgettable, with no real villain motivation. I’d say it’s on par with Sony’s Venom movies.",,2022-04-02
2022-04-09,Sonic the Hedgehog 2,2022,https://boxd.it/2JKmBV,3.5,,"As enjoyable as the first one, but surpasses it in terms of action and spectacle. Looking forward to the next one.",,2022-04-08
2022-04-16,Ambulance,2022,https://boxd.it/2L0ZZD,3.5,,"Not perfect by any means, especially for the writing, but extremely fun and surprisingly well-paced. The drone shots are amazing and the score accompanies the film well enough to keep me on the edge of my seat.",,2022-04-15
2022-04-22,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/2M8e2J,3.5,,Surprisingly better than I was expecting. Great wizard fight scenes and they didn’t need to waste time on unnecessary setup like the first two. Jude Law nails it as Dumbledore and I hope he returns to the role if they ever remake Harry Potter.,,2022-04-21
2022-04-23,The Northman,2022,https://boxd.it/2Mjr6L,3,,"Has a tremendously promising first act, setting up an extremely compelling retelling of Hamlet with a dash of Nordic flair. The stakes are quickly dashed when the kingdom is traded for a small village. Fate also plays too heavy a hand in the narrative, and it doesn’t feel like Amleth accomplished anything on his own.",,2022-04-22
2022-05-04,The Unbearable Weight of Massive Talent,2022,https://boxd.it/2OeXqV,4,,"A fun, meta love letter to Nick Cage movies and cinema as a whole. I need a time travel, buddy cop movie featuring Nick and CGI de-age-ified Nick.",,2022-05-03
2022-05-06,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2OzWqn,4.5,,"Visually stunning as always. Literally had me on the edge of my seat, especially with the arrival of the Illuminati. I hope they explore more of that in the future. There are a couple of plot elements I’m still not sure how I feel about, but this is for sure a top-tier Marvel movie. It’s also nice to see Sam Raimi’s directorial flair shine through.",,2022-05-05
2022-05-25,Men,2022,https://boxd.it/2S3Zf5,4,,"The shot composition and color grading were absolutely phenomenal. It was also impressive how different each of Rory Kinnear’s characters felt, he’s hardly recognizable between roles. I feel this movie would pair perfectly with Iron Maiden’s Fear of the Dark. I could have done without the four consecutive male pregnancies, however.",,2022-05-24
2022-06-01,Top Gun: Maverick,2022,https://boxd.it/2TgXb1,4.5,,"The crowning achievement of this movie is its consistency with the original film, especially with the character of Maverick. The dynamic between Maverick and Rooster is extremely compelling and the third act action sequence doesn’t hold anything back in terms of sheer spectacle. The only drawbacks are some confusing editing choices and awkward character introductions. Overall, this movie surpasses the original and makes a strong case for the return to practical effects.",,2022-05-31
2022-06-18,Lightyear,2022,https://boxd.it/2WgmaH,4.5,,"This might be biased considering that Buzz was one of my first favorite characters, but this movie was amazing. The animation quality is Pixar’s best since Incredibles 2 and Giacchino’s soundtrack is exceptional. Seeing how they expanded beyond Buzz’s iconic idiosyncrasies from the Toy Story movies made the movie especially enjoyable. My favorite part of the movie was the inclusion of Zurg, who I’ve always wished to see more. I’m happy with the direction they took this character and hope they can work in Emperor Zurg if they were to develop a sequel.",,2022-06-17
2022-06-19,Power Rangers,2017,https://boxd.it/2Wpv0f,4,Yes,This movie deserved a sequel.,,2022-06-18
2022-06-24,The Black Phone,2021,https://boxd.it/2XpxJZ,3.5,,"I was excited to see this because it’s directed by Scott Derrickson and overall it’s a pretty solid film. Most of child actors give decent performances, except for the main character Finn, which holds the movie back slightly. I thought Gwen was infinitely more interesting of a character and think she should’ve had the lead role. I also wish Ethan Hawke’s character was more developed, but the variations of his mask are interesting enough. The film ends with a satisfying culmination of all the elements set up throughout.",,2022-06-23
2022-06-26,Elvis,2022,https://boxd.it/2XODI9,4,,"I wasn’t expecting much going into this movie, but the editing and pacing are outstanding and really made this super engaging. While I do wish more of the movie had the perspective of Elvis at the forefront, I recognize that this allows the film to forgo the typical clichés of biopics. The second half of the movie really made the movie worthwhile for me.",,2022-06-25
